name,type,summary,state,updated,lat,lng,size,url,id,contained
Christensen Fire ,Wildfire,"The Christensen Fire started on July 16, 2021 approximately 12 miles...",MONTANA,2021-07-27 11:10:40,45.781,-113.226,"4,891 Acres",/incident/7702/,7702,0
Tango Fire,Wildfire,The lightning caused Tango Fire was reported the evening of July...,IDAHO,2021-07-27 11:10:17,44.483,-114.873,103 Acres,/incident/7706/,7706,0
Black Mountain,Wildfire,The lightning-caused Black Mountain fire was reported to the Dillon...,MONTANA,2021-07-27 11:06:42,45.185,-113.474,968 Acres,/incident/7691/,7691,0
Storm Theatre Complex,Wildfire,The Storm Theatre Complex is being managed by Incident Commander...,IDAHO,2021-07-27 11:06:39,46.555,-115.097,"7,915 Acres",/incident/7724/,7724,0
Chuweah Creek,Wildfire," The Chuweah Creek Fire started on July 12 outside of Nespelem,",WASHINGTON,2021-07-27 10:57:13,48.229,-119.017,"36,820 Acres",/incident/7664/,7664,65
Goose Fire,Wildfire,"The Goose Fire started on July 1, 2021 32 miles SSE of Ennis, MT near...",MONTANA,2021-07-27 10:53:15,44.733,-111.6,"7,496 Acres",/incident/7618/,7618,78
Cougar Rock Complex,Wildfire,The Cougar Rock Complex is comprised of several wildfires that all...,IDAHO,2021-07-27 10:51:48,46.893,-115.846,"6,741 Acres",/incident/7640/,7640,46
Club Fire,Wildfire,The Club Creek Fire started 3 miles southwest of Root Ranch. Crews...,IDAHO,2021-07-27 10:47:31,45.28,-115.055,178 Acres,/incident/7704/,7704,0
"Mud Lick, Haynes, and Iron Fires",Wildfire,On July 21st at 6 a.m. Tony DeMasters Great Basin Team 2 took command...,IDAHO,2021-07-27 10:39:56,45.183,-114.421,"18,031 Acres",/incident/7638/,7638,0
Bootleg Fire,Wildfire,The Bootleg Fire continues to burn actively on the Fremont-Winema...,OREGON,2021-07-27 10:33:56,42.616,-121.421,"410,731 Acres",/incident/7609/,7609,53
Shale Creek,Wildfire,Shale Creek Fire is located in remote and rugged terrain east of Hams...,WYOMING,2021-07-27 10:28:03,42.236,-110.606,189 Acres,/incident/7689/,7689,60
Snake River Complex,Wildfire,The Snake River Complex comprises of three wildfires that merged...,IDAHO,2021-07-27 10:21:26,46.012,-116.911,"108,794 Acres",/incident/7636/,7636,85
Harris Mountain,Wildfire,Evening Update - 7.26.2021 at 8:00 PMFire activity picked up in the...,MONTANA,2021-07-27 10:20:35,47.127,-111.75,"19,103 Acres",/incident/7719/,7719,0
Goddard Road Fire,Wildfire,The Goddard Road Fire has been returned to the local district (DNR)...,WASHINGTON,2021-07-27 09:49:29,48.447,-118.152,815 Acres,/incident/7676/,7676,100
Spruce Canyon,Wildfire,Our Northeast Washington Interagency Type 3 IMT Team 2 were stood up...,WASHINGTON,2021-07-27 09:36:09,48.54,-117.593,67 Acres,/incident/7721/,7721,10
Muddy Slide Fire,Wildfire,"Muddy Slide Fire Update Sunday, July 25 2021The Muddy Slide Fire...",COLORADO,2021-07-27 09:14:32,40.143,-106.798,"4,093 Acres",/incident/7566/,7566,70
Crater Ridge,Wildfire,The Crater Ridge Fire ignited on July 17 in a remote area of the...,WYOMING,2021-07-27 08:58:00,44.947,-107.771,641 Acres,/incident/7685/,7685,0
Ruby,Wildfire," The Ruby Fire was detected on July 15, 2021 at 6:40 p.m.  It is...",MONTANA,2021-07-27 08:53:48,48.484,-115.94,86 Acres,/incident/7698/,7698,95
Peak Fire,Wildfire,The Bureau of Land Management and U.S. Forest Service are in Unified...,CALIFORNIA,2021-07-27 08:35:11,35.406,-118.436,"2,098 Acres",/incident/7703/,7703,87
Vinegar Fire,Wildfire,The Vinegar Fire started approximately 2 miles north of the Cabin...,IDAHO,2021-07-27 07:45:06,45.179,-114.905,"1,045 Acres",/incident/7709/,7709,0
Rush Creek,Wildfire,The Rush Creek Fire started at the confluence of Telephone and Rush...,IDAHO,2021-07-27 07:42:09,44.983,-114.993,"1,779 Acres",/incident/7710/,7710,0
2021 Payette Wilderness Fires,Wildfire,Three fires are burning in the Frank Church River of No Return...,IDAHO,2021-07-27 07:18:40,45,-115,"3,002 Acres",/incident/7700/,7700,0
Elbow Creek,Wildfire,"The Elbow Creek Fire, located approximately 17 miles northwest of...",OREGON,2021-07-26 23:18:35,45.867,-117.619,"22,790 Acres",/incident/7672/,7672,38
Nez Perce-Clearwater Lightning Fires,Wildfire,"In early July, a thunderstorm system moved through the north-central...",IDAHO,2021-07-26 21:37:13,46.245,-116.033,0 Acres,/incident/7692/,7692,0
Granite Pass Complex,Wildfire,Follow the Granite Pass Complex on Facebook The Granite Pass Complex...,MONTANA,2021-07-26 20:25:45,46.652,-114.591,"3,726 Acres",/incident/7653/,7653,22
Dry Cabin,Wildfire,"The Dry Cabin Fire was reported at 1:37 p.m. on July 11, 2021. It is...",MONTANA,2021-07-26 19:20:45,47.278,-112.956,"2,370 Acres",/incident/7660/,7660,0
Fly,Wildfire,The Fly Fire merged with the Dixie Fire on the night of July 24/25. ...,CALIFORNIA,2021-07-26 19:05:12,40.007,-120.965,0 Acres,/incident/7716/,7716,0
Hardesty Valley Fire,Wildfire,The Hardesty Valley fire was transitioned over to the Southern Area...,WASHINGTON,2021-07-26 17:31:49,46.945,-117.368,30 Acres,/incident/7725/,7725,30
Nelson Creek Fire,Wildfire,Fire activity was active on Sunday afternoon with two new fires...,WASHINGTON,2021-07-26 17:10:21,47.998,-117.229,154 Acres,/incident/7723/,7723,60
Animas City Mountain Prescribed Burn,Prescribed Fire," In order to reduce the risk of high-intensity wildfire, improve...",COLORADO,2021-07-26 17:03:24,37.323,-107.872,0 Acres,/incident/7688/,7688,0
Trestle Creek Complex,Wildfire,"July 7, lightning came through the area starting 7 fires.  Two fires...",IDAHO,2021-07-26 14:57:55,48.341,-116.22,436 Acres,/incident/7648/,7648,37
West Zone Superior Fires,Wildfire," The West Zone of the Superior National Forest, consisting of the...",MINNESOTA,2021-07-26 14:48:13,47.907,-91.831,0 Acres,/incident/7617/,7617,0
Dexter Fire,Wildfire,The lightning-caused Dexter Fire was reported at 9:35 a.m....,CALIFORNIA,2021-07-26 14:22:27,37.802,-118.874,"2,965 Acres",/incident/7656/,7656,97
Glacier Fire,Wildfire,The lightning-caused Glacier Fire was reported on 1:18 p.m. on...,CALIFORNIA,2021-07-26 13:33:20,37.145,-118.42,41 Acres,/incident/7668/,7668,100
Lukens,Wildfire,The Lukens Fire is one of multiple fires burning in Yosemite National...,CALIFORNIA,2021-07-26 12:47:16,37.851,-119.618,466 Acres,/incident/7614/,7614,50
Beckwourth  Complex,Wildfire, Incident Commander Bryce Thomas is leading the Type 3 Organization...,CALIFORNIA,2021-07-26 12:23:52,39.875,-120.368,"105,670 Acres",/incident/7601/,7601,98
Larkins Fire Complex,Wildfire,The Larkins Fire Complex is located on the St. Joe River Ranger...,IDAHO,2021-07-26 12:17:03,46.967,-115.671,"2,500 Acres",/incident/7722/,7722,0
Steptoe Canyon,Wildfire," The Steptoe Canyon Fire started on July 22, 2021 at approximately...",WASHINGTON,2021-07-26 12:13:19,46.49,-117.2,"2,605 Acres",/incident/7717/,7717,100
Northrup,Wildfire," At about 5:00 p.m. July 22, fire resources responded to a call for...",WASHINGTON,2021-07-26 11:40:23,47.859,-119.098,247 Acres,/incident/7718/,7718,95
King,Wildfire,There are multiple fires burning in Yosemite National Park...,CALIFORNIA,2021-07-26 10:51:09,37.702,-119.533,10 Acres,/incident/7593/,7593,100
2021 Humboldt-Toiyabe Initial Attack,Wildfire,For all emerging initial attack incidents on the Humboldt-Toiyabe...,NEVADA,2021-07-26 10:50:28,39.524,-119.719,1 Acres,/incident/7304/,7304,0
Spring Prescribed Fire Projects 2021,Prescribed Fire,Please take a moment to at the links section of this page to see...,OREGON,2021-07-26 10:38:38,44.418,-118.952,0 Acres,/incident/7426/,7426,0
Sylvan Fire,Wildfire,People visiting Sylvan Lake State Park and other open areas near the...,COLORADO,2021-07-26 10:36:00,39.465,-106.768,"3,792 Acres",/incident/7562/,7562,68
Half Moon,Wildfire,There are multiple fires burning in Yosemite National Park...,CALIFORNIA,2021-07-26 10:16:07,37.893,-119.552,1 Acres,/incident/7670/,7670,0
County Line,Wildfire,The County Line Fire is one of multiple fires burning in Yosemite...,CALIFORNIA,2021-07-26 10:12:10,37.835,-119.619,224 Acres,/incident/7613/,7613,100
Hoover,Wildfire,The Hoover Fire is one of multiple fires burning in Yosemite National...,CALIFORNIA,2021-07-26 09:13:00,37.654,-119.489,59 Acres,/incident/7701/,7701,100
Silliman,Wildfire,"Discovered on July 21, 2021, the lightning-caused Silliman is burning...",CALIFORNIA,2021-07-26 09:10:17,36.641,-118.719,4 Acres,/incident/7714/,7714,100
Lost Fire,Wildfire,"Discovered on July 10, 2021, the lightning-caused Lost Fire is...",CALIFORNIA,2021-07-26 09:08:25,36.92,-118.707,101 Acres,/incident/7666/,7666,100
Delta Lake Fire ,Wildfire,The Delta Lake Fire continues to be the only active fire within the...,MINNESOTA,2021-07-26 08:24:05,47.93,-91.74,62 Acres,/incident/7643/,7643,92
Graham Ridge Fire,Wildfire,"Overnight and into the morning of 7/7/21, a thunderstorm system moved...",IDAHO,2021-07-25 17:41:03,47.618,-116.141,15 Acres,/incident/7630/,7630,0
Lava Post-Fire BAER,Burned Area Emergency Response,THREE PHASES OF WILDFIRE RECOVERY There are three phases of recovery...,CALIFORNIA,2021-07-25 17:32:03,41.425,-122.261,0 Acres,/incident/7693/,7693,0
Lava Fire,Wildfire,The Lava Fire started on 6/24/21 by lightning and is burning...,CALIFORNIA,2021-07-25 17:01:43,41.459,-122.329,"26,316 Acres",/incident/7581/,7581,77
Salt Post-Fire BAER,Burned Area Emergency Response,THREE PHASES OF WILDFIRE RECOVERY There are three phases of recovery...,CALIFORNIA,2021-07-25 12:31:34,40.916,-122.403,0 Acres,/incident/7697/,7697,0
Tennant Post-Fire BAER,Burned Area Emergency Response, THREE PHASES OF WILDFIRE RECOVERY  There are three phases of...,CALIFORNIA,2021-07-23 14:37:53,41.733,-122.107,0 Acres,/incident/7699/,7699,0
Brewster Fire,Wildfire,"&amp;#183;Last update will be July 16, 2021 unless increased fire...",MONTANA,2021-07-23 13:30:42,46.612,-113.574,156 Acres,/incident/7629/,7629,85
McDougal Fire,Wildfire, The McDougal fire is currently assessed at 16.5 acres. Type 1 and...,MONTANA,2021-07-23 00:35:09,46.119,-113.451,17 Acres,/incident/7695/,7695,0
North,Wildfire,"On Thursday, July 8, 2021, an escaped campfire was reported on the...",CALIFORNIA,2021-07-22 16:49:46,37.76,-119.559,0 Acres,/incident/7623/,7623,100
Tiger Fire,Wildfire,This will be the final news release unless there are significant...,ARIZONA,2021-07-22 13:00:20,34.139,-112.218,"16,278 Acres",/incident/7595/,7595,90
Grandview,Wildfire,"The Grandview Fire was reported at 1:30 p.m., Sunday, July 11th,...",OREGON,2021-07-22 12:54:58,44.466,-121.4,"6,032 Acres",/incident/7651/,7651,95
Wegner,Wildfire, There are multiple fires burning in Yosemite National Park...,CALIFORNIA,2021-07-22 08:01:54,37.849,-119.552,0 Acres,/incident/7705/,7705,0
Porcupine,Wildfire,There are multiple fires burning in Yosemite National Park...,CALIFORNIA,2021-07-21 23:13:12,37.825,-119.552,10 Acres,/incident/7678/,7678,100
