name,type,summary,state,updated,lat,lng,size,url,id,contained
Mojave,Wildfire,"On Thursday June 17, thunderstorms with dry lightning moved through...",CALIFORNIA,2021-06-25 00:07:43,35.343,-115.783,"2,490 Acres",/incident/7555/,7555,95
Rincon Fire,Wildfire,"The Rincon Fire was started by lightning June 11, 2021. It is burning...",NEW MEXICO,2021-06-24 16:11:56,35.909,-105.533,533 Acres,/incident/7527/,7527,0
Dairy Fire,Wildfire,"The Dairy Fire, located south of Red Bluff adjacent to the Sacramento...",CALIFORNIA,2021-06-23 19:53:30,40.106,-122.137,165 Acres,/incident/7546/,7546,100
Trail Canyon,Wildfire,The Trail Canyon Fire burned across 881 acres on Ute Mountain Ute...,COLORADO,2021-06-23 18:51:55,37.183,-108.341,881 Acres,/incident/7557/,7557,90
Flatt,Wildfire, Today will be the final update for the Flatt Fire. Yesterday’s...,UTAH,2021-06-23 10:20:30,37.636,-113.801,"14,379 Acres",/incident/7551/,7551,70
Heavy Fire,Wildfire,"The Heavy Fire was reported on Wednesday afternoon on June 16,...",ARIZONA,2021-06-22 21:42:11,31.859,-110.777,104 Acres,/incident/7544/,7544,100
Mountain Fire,Wildfire,"The Mountain Fire was discovered around 2 a.m. on Friday, June 18. It...",CALIFORNIA,2021-06-22 13:39:54,36.098,-118.772,123 Acres,/incident/7550/,7550,100
Three Rivers Post-Fire BAER,Burned Area Emergency Response,Three Phases of Wildfire RecoveryFire Suppression Repair is a series...,NEW MEXICO,2021-06-21 12:16:52,33.985,-105.851,"5,854 Acres",/incident/7483/,7483,100
Poso Fire,Wildfire, The Poso Fire on the El Rito Ranger District on the Carson National...,NEW MEXICO,2021-06-20 14:04:49,36.477,-106.204,"2,057 Acres",/incident/7520/,7520,55
Moore Fire,Wildfire, The Moore fire started by lightning June 16. It is located 12 miles...,ARIZONA,2021-06-20 10:08:02,33.352,-109.086,400 Acres,/incident/7554/,7554,0
Hobo Fire,Wildfire,The Hobo Fire started by lightning on June 4. It is located two miles...,ARIZONA,2021-06-19 17:45:34,33.377,-109.137,600 Acres,/incident/7552/,7552,50
Vosburg Pike,Wildfire,The Vosburg Pike Fire has been burning on Bureau of Land Management...,COLORADO,2021-06-18 19:13:25,37.285,-107.702,67 Acres,/incident/7543/,7543,100
Yankee Fire,Wildfire,6/17/2021 5:00 p.m. Update Per IC's: Yankee fire is 95% contained...,CALIFORNIA,2021-06-17 19:07:30,35.651,-118.441,20 Acres,/incident/7541/,7541,95
Shamrock Fire,Wildfire,"The Shamrock Fire was reported on Thursday, June 9 just before...",ARIZONA,2021-06-15 10:09:47,31.4,-110.755,"1,104 Acres",/incident/7522/,7522,95
Joseph Canyon Fire,Wildfire, The Joseph Canyon Fire was one of multiple ignitions resulting from...,OREGON,2021-06-11 10:36:24,45.989,-117.081,"7,610 Acres",/incident/7513/,7513,95
Wolf Draw,Wildfire," Wolf Draw Fire Update – June 9, 2021 This will be the last update...",NEW MEXICO,2021-06-09 17:35:41,36.471,-106.929,712 Acres,/incident/7504/,7504,85
Wilson Creek Fire,Wildfire," The 1,608-acre Wilson Creek Fire on Mt. Wilson, about 15 miles...",NEVADA,2021-06-08 17:58:36,38.25,-114.381,"1,608 Acres",/incident/7502/,7502,100
Warren Fire,Wildfire,"The Warren Fire was contained at 1,400 acres on June 7 at",ARIZONA,2021-06-07 16:27:05,31.795,-109.169,"1,400 Acres",/incident/7503/,7503,100
Harshaw Fire,Wildfire,The Harshaw Fire was contained at 149 acres on June 3 at,ARIZONA,2021-06-07 16:25:32,31.531,-110.686,149 Acres,/incident/7506/,7506,100
Dog Fire,Wildfire,Daily Update| Fire Map | Closure Map | Fire RestrictionsThe Dog...,TEXAS,2021-06-04 17:01:25,31.936,-104.84,"1,959 Acres",/incident/7492/,7492,40
McDonald Tank Fire,Wildfire,The McDonald Tank fire is burning south of Tonto Lake near the Black...,ARIZONA,2021-06-04 12:26:33,33.623,-109.571,"3,550 Acres",/incident/7501/,7501,95
Warsaw Fire,Wildfire,"The Warsaw Fire was reported on Sunday, May 16th at 4:30 pm.  The...",ARIZONA,2021-05-31 12:34:15,31.418,-111.283,950 Acres,/incident/7489/,7489,100
Boggy Creek,Wildfire,The Boggy Creek fire is in steep rugged terrain in an area with heavy...,ARIZONA,2021-05-30 16:31:37,33.744,-109.444,"2,945 Acres",/incident/7499/,7499,70
Cuervito Fire,Wildfire,"Quiet Day on Cuervito Fire on SFNF SANTA FE, NM – May 19, 2021 –...",NEW MEXICO,2021-05-27 17:34:34,35.534,-105.501,"1,621 Acres",/incident/7478/,7478,0
Elk,Wildfire,"The Elk Fire was reported on May 15, 2021 at 2:20 P.M.. The fire is...",IDAHO,2021-05-16 14:36:01,44.297,-115.044,0 Acres,/incident/7487/,7487,0
Owens Fire ,Wildfire," The Owens Fire was reported at 2:02 pm on Saturday, May 1 in the...",CALIFORNIA,2021-05-05 12:59:21,35.712,-117.916,"1,512 Acres",/incident/7444/,7444,85
Hoosier National Forest Prescribed Burns,Prescribed Fire,The U.S. Forest Service will soon conduct prescribed burns to...,INDIANA,2021-04-29 14:38:53,38.556,-86.47,0 Acres,/incident/6666/,6666,0
